,Original Comment,Original Sentiment,P/E Sentiment,P/E Explanation (Persian)
0,بسته بندی تمیز کیفیت محصولات هم بسیار خوب. لطفا در صورت امکان منو میوه تنوع بیشتری داشته باشد امروز چون موز تو منو نبود از سوپر میوه‌های دیگه اسنپ فود خرید کردم اصلا کیفیت مناسبی نداشت و واقعا تعهد و کیفیت سبزی من بسیار عالی و غیر قابل مقایسه است,positive,positive,دلیل اصلی این پیش‌بینی این است که مشتری از کیفیت محصولات و بسته‌بندی تمیز ابراز رضایت کرده است و همچنین از تعهد و کیفیت سبزی‌ها به عنوان عالی و غیرقابل مقایسه با سایر فروشگاه‌ها یاد کرده است، اگرچه او درخواست کرده است که تنوع بیشتری در منوی میوه داشته باشد، اما این درخواست به عنوان انتقادی جدی تلقی نمی‌شود.
1,سلام. خسته نباشید. واقعا خوشمزه و عالی بود. پیتزا مخلوط و هات داگ بسیار خوشمزه بود. ممنون از شیلا,positive,positive,"دلیل اصلی این پیش‌بینی این است که مشتری از کلمات و عبارات مثبتی مانند ""واقعا خوشمزه و عالی بود"" و ""بسیار خوشمزه بود"" و همچنین کلمه ""ممنون"" استفاده کرده است که نشان‌دهنده رضایت و خشنودی او از تجربه‌اش است."
2,سیب زمینی با پنیر سفارش داده بودم و سیب زمینی ساده ب من تحویل دادند! حداقل کار ممکن اینه که تفاوت قیمتش رو ب حسابم برگردونید,negative,negative,دلیل اصلی این پیش‌بینی این است که مشتری از این که سفارش او اشتباه تحویل داده شده است ناراضی است و همچنین از این که تفاوت قیمت به حساب او برگردانده نشده است شکایت دارد.
3,سلام واقعنی پیتزا سیب مثل قبل اصلن خوب نبود.. کیفیتش از دست داده حجم سیب زمینی ویژه با معمولی هیچ فرقی نداره.. فقط پنیر داره.. و درکل کلی پول پیک و مالیات زیاد میگیره,negative,negative,دلیل اصلی این پیش‌بینی این است که مشتری از کیفیت پیتزا و حجم سیب زمینی ویژه ناراضی است و همچنین به هزینه پیک و مالیات اشاره کرده است. او همچنین می‌گوید که کیفیت پیتزا از دست رفته است و فقط پنیر دارد، که نشان‌دهنده نارضایتی او از کیفیت و ارزش غذایی است.
4,خیلی سریع و داغ و لذیذ رسید,positive,positive,"دلیل اصلی پیش‌بینی مثبت این است که کلمات ""خیلی سریع""، ""داغ"" و ""لذیذ"" نشان‌دهنده رضایت مشتری از کیفیت و سرعت تحویل هستند."
5,خرمالوها له و داغون به دستم رسید,negative,positive,"دلیل اصلی این پیش‌بینی این است که کلمه ""داغون"" در این جمله به معنای تازه و گرم است و نشان‌دهنده این است که خریدار از کیفیت و تازگی محصول راضی بوده است."
6,بی نظیر عالی بود,positive,positive,"دلیل اصلی این پیش‌بینی این است که کلمات ""بی نظیر"" و ""عالی"" در این بررسی استفاده شده‌اند که کلمات مثبتی هستند و نشان‌دهنده رضایت و تحسین نویسنده از موضوع مورد بررسی هستند."
7,عالی بود ممنونم فقط کاش سبزیجاتم موجود داشتید,positive,positive,"دلیل اصلی این پیش‌بینی این است که مشتری در ابتدا از تجربه خود استفاده از کلمه ""عالی"" ابراز رضایت کرده است و فقط یک انتقاد جزئی در مورد عدم موجودی سبزیجات داشته است."
8,دونات‌ها یخ کرده بود، من همیشه داغ داغ تحویل میگرفتم.۴۰ دقیقه تاخیر داشتند.,positive,negative,دلیل اصلی این پیش‌بینی منفی، وجود دو مشکل در تجربه مشتری است: دونات‌ها یخ زده بود و ۴۰ دقیقه تاخیر داشتند. این دو مشکل نشان می‌دهد که مشتری از کیفیت و زمان تحویل ناراضی بوده است.
9,غذا سرد بود کیفیت نداشت بنده ساعت ۱۱:۵۵ سفارش دادم ساعت ۱۱:۵۶ غذا تحویل پیک شد درنتیجه کاملا مشخصه غذا تازه نبوده است!!!!!! سس هم نداشت.,negative,negative,"دلیل اصلی پیش‌بینی من این است که مشتری از کیفیت غذا و زمان تحویل آن ناراضی بوده و از عدم وجود سس هم شکایت کرده است. استفاده از علامت‌های تعجب و کلمات منفی مانند ""سرد بود""، ""کیفیت نداشت"" و ""کاملا مشخصه غذا تازه نبوده است"" نشان‌دهنده نارضایتی مشتری است."
