index,question,options,gold,explanation,pred_noexp,prob_noexp,pred_exp,prob_exp,is_correct_noexp,is_correct_exp,sufficiency,usefulness,probs_noexp,probs_exp
0,جرج می‌خواهد دست‌هایش را با مالیدن به سرعت گرم کند. کدام سطح پوست بیشترین گرما را تولید می‌کند؟,"['کف\u200cهای خشک', 'کف\u200cهای مرطوب', 'کف\u200cهای چرب شده با روغن', 'کف\u200cهای پوشیده شده با لوسیون']",A,دست‌های خشک بیشترین گرما را تولید می‌کنند زیرا اصطکاک بیشتری دارند، در حالی که سطوح مرطوب یا چرب اصطکاک را کاهش می,C,0.8796225190162659,A,0.9792050719261169,False,True,True,True,[0.081658   0.03404012 0.8796225  0.00467938],[0.9792051  0.0073676  0.01214713 0.0012803 ]
1,کدام یک از جملات زیر بهترین توضیح را برای این موضوع ارائه می‌دهد که چرا مغناطیس‌ها معمولاً به درب یخچال می‌چسبند؟,"['در یخچال سطحی صاف وجود دارد.', 'درب یخچال حاوی آهن است.', 'درب یخچال یک هادی خوب است.', 'درب یخچال دارای سیم\u200cهای برق است.']",B,درهای یخچال از فلزاتی با آهن ساخته شده‌اند که خاصیت مغناطیسی دارند. این آهن موجب چسبندگی مگنت‌ها به درب یخچال می‌شود. سایر گزینه,B,0.9000676274299622,B,0.9831454753875732,True,True,True,True,[0.05058037 0.9000676  0.03939204 0.00995987],[0.00967614 0.9831455  0.00586888 0.00130952]
2,سوالی: چین‌خوردگی مشاهده‌شده در لایه‌های سنگ‌های رسوبی بیشتر احتمالاً ناشی از,"['سرد شدن ماگما در حال جریان.', 'مقارن شدن صفحات قشری.', 'رسوب\u200cگذاری مواد رسوبی در کنار رودخانه.', 'حل شدن معدنی کربنات.']",B,چین‌خوردگی لایه‌های سنگ‌های رسوبی به دلیل فشار و تنش ناشی از همگرایی صفحات قشری است که منجر به تغییر شکل آنها می‌شود.,B,0.5060479044914246,B,0.9843599200248718,True,True,True,True,[0.4465857  0.5060479  0.0369455  0.01042096],[1.3931871e-02 9.8435992e-01 1.4684084e-03 2.3971108e-04]
3,کدام یک از این موارد را دانشمندان به عنوان جدیدترین توضیح درباره اینکه چرا بسیاری از گیاهان و جانوران در پایان دوره مزوزوئیک منقرض شدند، ارائه می‌دهند؟,"['بیماری جهانی', 'تشکیل کوه\u200cهای جهانی', 'ظهور پستانداران که به گیاهان و جانوران حمله می\u200cکردند', 'ضربه یک سیارک که گرد و غبار ایجاد کرد و نور خورشید را مسدود کرد']",D,دانشمندان معتقدند برخورد یک سیارک در پایان دوره مزوزوئیک گرد و غبار ایجاد کرد که نور خورشید را مسدود و باعث تغییرات اقلیمی و انقراض گیاهان و,A,0.6778459548950195,D,0.9812333583831787,False,True,True,True,[0.67784595 0.1168753  0.15007086 0.05520798],[1.6015802e-02 2.1675031e-03 5.8337563e-04 9.8123336e-01]
4,یک قایق تحت تأثیر جریان یک رودخانه که به سمت شمال می‌رود و بادی که بر روی بادبان‌های آن می‌وزد، قرار دارد. قایق به سمت شمال‌شرقی حرکت می‌کند. در کدام جهت باد به احتمال زیاد بر روی بادبان‌های قایق نیرو وارد می‌کند؟,"['غرب', 'شرق', 'شمال', 'جنوب']",B,با توجه به حرکت قایق به سمت شمال شرق و جریان رودخانه به شمال، باد باید از سمت شرق به قایق فشار آورد تا این حرکت امکان‌پذیر باشد.,B,0.5282155871391296,B,0.9449016451835632,True,True,True,True,[0.24853863 0.5282156  0.02968371 0.19356208],[0.03656632 0.94490165 0.00304881 0.01548315]
5,کدام شکل زمین نتیجه نیروی سازنده یک یخچال طبیعی است؟,"['دره\u200cهای حفر شده توسط یک یخچال طبیعی متحرک', 'توده\u200cهای سنگی جمع\u200cشده توسط یک یخچال طبیعی آب شده', 'خطوط ایجاد شده در سطح گرانیت توسط یک یخچال طبیعی', 'تپه\u200cهای سنگ بستر خراشیده شده توسط عبور یک یخچال طبیعی']",B,یخچال‌های طبیعی با حرکت خود دره‌های عمیق و باریکی به نام دره‌های یخچالی ایجاد می‌کنند که نشان‌دهنده نیروی سازنده آن‌هاست.,A,0.5269642472267151,A,0.9126812815666199,False,False,False,False,[0.52696425 0.15097779 0.15097779 0.17108025],[0.9126813  0.01013897 0.07491744 0.00226231]
6,کدام جمله بهترین مقایسه را بین موجودات تک‌سلولی و چندسلولی ارائه می‌دهد؟,"['بافت\u200cها در یک موجود تک\u200cسلولی مانند سلول\u200cها در یک موجود چندسلولی هستند.', 'هسته در یک موجود تک\u200cسلولی مانند پوست یک موجود چندسلولی است.', 'اندامک\u200cها در یک موجود تک\u200cسلولی مانند اعضا در یک موجود چندسلولی هستند.', 'سیتوپلاسم در یک موجود تک\u200cسلولی مانند سیستم عصبی در یک موجود چندسلولی است.']",C,در موجودات تک‌سلولی، اندامک‌ها وظایف مختلفی دارند که مشابه عملکرد اعضا در موجودات چندسلولی است. هر اندامک نقش خاصی ایفا می‌کند، همان‌طور که هر عضو در موجودات چندسلولی وظیفه خاص خود را دارد. این مقای,A,0.786097526550293,C,0.9457007646560669,False,True,True,True,[0.7860975  0.023831   0.15539762 0.0346739 ],[5.3561602e-02 4.8563760e-04 9.4570076e-01 2.5194549e-04]
7,در چارچوب یک آزمایش، یک فضانورد یک ترازو به ماه می‌برد و خود را وزن می‌کند. ترازو ۳۱ پوند را نشان می‌دهد. اگر جرم فضانورد حدود ۸۴ کیلوگرم باشد، وزن و جرم تقریبی فضانورد هنگام ایستادن بر روی زمین کدامند؟,"['۳۱ پوند و ۱۴ کیلوگرم', '۳۱ پوند و ۸۴ کیلوگرم', '۱۸۶ پوند و ۱۴ کیلوگرم', '۱۸۶ پوند و ۸۴ کیلوگرم']",D,وزن یک جسم به نیروی گرانشی وابسته است. در زمین، وزن برابر با جرم (کیلوگرم) ضربدر شتاب گرانش (تقریباً 9.8 متر بر ثانیه مربع) است. برای فضانورد با جرم 84 کیلوگرم، وزن او در زمین حدود 186 پوند می‌شود. بنابراین، گزینه,D,0.5123115181922913,D,0.793984055519104,True,True,True,True,[0.1663232  0.01063269 0.31073263 0.5123115 ],[0.09408992 0.00530819 0.10661785 0.79398406]
8,کدام یک از موارد زیر ویژگی‌ای است که سگ از والدین خود به ارث نمی‌برد؟,"['طول موهایش', 'شکل بینی\u200cاش', 'اندازه اشتهایش', 'رنگ موهایش']",C,حجم اشتها تحت تأثیر عوامل محیطی و رفتاری است و به طور مستقیم از والدین منتقل نمی‌شود. در مقابل، طول مو، شکل بینی و رنگ مو ویژگی‌های ژنتیکی هستند.,B,0.40217435359954834,C,0.9685419797897339,False,True,True,True,[0.3132137  0.40217435 0.06934355 0.21526843],[0.02560991 0.00238209 0.968542   0.00346592]
9,پیمایشی که لاک‌پشت‌های دریایی در ابتدای زندگی خود معمولاً تیره رنگ هستند. گاهی اوقات، لاک‌پشتی بیرون می‌آید که تقریباً سفید رنگ است. هنگامی که این لاک‌پشت رنگ روشن از لانه به سمت اقیانوس خزیده می‌شود، ممکن است در معرض آفتاب سوختگی قرار گیرد. رنگ روشن این لاک‌پشت‌ها چه تأثیری خواهد داشت؟,"['الف) به لاک\u200cپشت\u200cها کمک می\u200cکند که شانس بیشتری برای زادآوری داشته باشند.', 'ب) باعث قوی\u200cتر شدن پوسته لاک\u200cپشت\u200cهای دریایی می\u200cشود.', 'ج) احتمال زنده ماندن لاک\u200cپشت\u200cها برای زادآوری را کاهش می\u200cدهد.', 'د) در توسعه یک گونه جدید از لاک\u200cپشت\u200cهای دریایی کمک می\u200cکند.']",C,رنگ روشن لاک‌پشت‌های دریایی آن‌ها را در معرض آفتاب‌سوختگی قرار می‌دهد که می‌تواند شانس زنده ماندن و تولید مثلشان را کاهش دهد. بنابراین، این ویژگی به کاهش احتمال زنده ماندن آن,C,0.5924316048622131,C,0.9478687644004822,True,True,True,True,[0.27984488 0.09014531 0.5924316  0.03757815],[0.0471916  0.00266237 0.94786876 0.00227724]
