index,question,options,gold,masked_explanation,pred_noexp,prob_noexp,pred_exp,prob_exp,is_correct_noexp,is_correct_exp,sufficiency,usefulness,probs_noexp,probs_exp
0,جرج می‌خواهد دست‌هایش را با مالیدن به سرعت گرم کند. کدام سطح پوست بیشترین گرما را تولید می‌کند؟,"['کف\u200cهای خشک', 'کف\u200cهای مرطوب', 'کف\u200cهای چرب شده با روغن', 'کف\u200cهای پوشیده شده با لوسیون']",A,دست‌های خشک بیشترین اصطکاک و گرما را تولید می,C,0.8796225190162659,A,0.8452095985412598,False,True,True,True,[0.081658   0.03404012 0.8796225  0.00467938],[0.8452096  0.02270073 0.1286084  0.00348127]
1,کدام یک از جملات زیر بهترین توضیح را برای این موضوع ارائه می‌دهد که چرا مغناطیس‌ها معمولاً به درب یخچال می‌چسبند؟,"['در یخچال سطحی صاف وجود دارد.', 'درب یخچال حاوی آهن است.', 'درب یخچال یک هادی خوب است.', 'درب یخچال دارای سیم\u200cهای برق است.']",B,درب یخچال از آهن ساخته شده که خاصیت مغناطیسی دارد و,B,0.9000676274299622,B,0.949343740940094,True,True,True,True,[0.05058037 0.9000676  0.03939204 0.00995987],[0.0321063  0.94934374 0.01516594 0.00338398]
2,سوالی: چین‌خوردگی مشاهده‌شده در لایه‌های سنگ‌های رسوبی بیشتر احتمالاً ناشی از,"['سرد شدن ماگما در حال جریان.', 'مقارن شدن صفحات قشری.', 'رسوب\u200cگذاری مواد رسوبی در کنار رودخانه.', 'حل شدن معدنی کربنات.']",B,چین‌خوردگی لایه‌های رسوبی به فشار ناشی از هم,B,0.5060479044914246,B,0.5751566290855408,True,True,True,True,[0.4465857  0.5060479  0.0369455  0.01042096],[0.21158831 0.5751566  0.21158831 0.00166678]
3,کدام یک از این موارد را دانشمندان به عنوان جدیدترین توضیح درباره اینکه چرا بسیاری از گیاهان و جانوران در پایان دوره مزوزوئیک منقرض شدند، ارائه می‌دهند؟,"['بیماری جهانی', 'تشکیل کوه\u200cهای جهانی', 'ظهور پستانداران که به گیاهان و جانوران حمله می\u200cکردند', 'ضربه یک سیارک که گرد و غبار ایجاد کرد و نور خورشید را مسدود کرد']",D,برخورد سیارک باعث گرد و غبار و مسدود شدن نور خورشید,A,0.6778459548950195,D,0.9000244140625,False,True,True,True,[0.67784595 0.1168753  0.15007086 0.05520798],[0.08371531 0.01263912 0.00362117 0.9000244 ]
4,یک قایق تحت تأثیر جریان یک رودخانه که به سمت شمال می‌رود و بادی که بر روی بادبان‌های آن می‌وزد، قرار دارد. قایق به سمت شمال‌شرقی حرکت می‌کند. در کدام جهت باد به احتمال زیاد بر روی بادبان‌های قایق نیرو وارد می‌کند؟,"['غرب', 'شرق', 'شمال', 'جنوب']",B,باد باید از سمت [MASK] بیاید تا قایق به [MASK] [MASK] برود.,B,0.5282155871391296,B,0.5847719311714172,True,True,True,True,[0.24853863 0.5282156  0.02968371 0.19356208],[0.2762267  0.58477193 0.03738322 0.10161813]
5,کدام شکل زمین نتیجه نیروی سازنده یک یخچال طبیعی است؟,"['دره\u200cهای حفر شده توسط یک یخچال طبیعی متحرک', 'توده\u200cهای سنگی جمع\u200cشده توسط یک یخچال طبیعی آب شده', 'خطوط ایجاد شده در سطح گرانیت توسط یک یخچال طبیعی', 'تپه\u200cهای سنگ بستر خراشیده شده توسط عبور یک یخچال طبیعی']",B,یخچال‌های طبیعی با حرکت خود دره‌های عمیق و باریکی ایجاد,A,0.5269642472267151,A,0.708389937877655,False,False,False,False,[0.52696425 0.15097779 0.15097779 0.17108025],[0.70838994 0.02105988 0.2606021  0.00994798]
6,کدام جمله بهترین مقایسه را بین موجودات تک‌سلولی و چندسلولی ارائه می‌دهد؟,"['بافت\u200cها در یک موجود تک\u200cسلولی مانند سلول\u200cها در یک موجود چندسلولی هستند.', 'هسته در یک موجود تک\u200cسلولی مانند پوست یک موجود چندسلولی است.', 'اندامک\u200cها در یک موجود تک\u200cسلولی مانند اعضا در یک موجود چندسلولی هستند.', 'سیتوپلاسم در یک موجود تک\u200cسلولی مانند سیستم عصبی در یک موجود چندسلولی است.']",C,در موجودات یک‌سلولی، اندامک‌ها وظایف خاصی دارند که مشابه اندام‌ها در موجودات چند,A,0.786097526550293,C,0.8629342317581177,False,True,True,True,[0.7860975  0.023831   0.15539762 0.0346739 ],[0.13156211 0.00309404 0.86293423 0.00240964]
7,در چارچوب یک آزمایش، یک فضانورد یک ترازو به ماه می‌برد و خود را وزن می‌کند. ترازو ۳۱ پوند را نشان می‌دهد. اگر جرم فضانورد حدود ۸۴ کیلوگرم باشد، وزن و جرم تقریبی فضانورد هنگام ایستادن بر روی زمین کدامند؟,"['۳۱ پوند و ۱۴ کیلوگرم', '۳۱ پوند و ۸۴ کیلوگرم', '۱۸۶ پوند و ۱۴ کیلوگرم', '۱۸۶ پوند و ۸۴ کیلوگرم']",D,وزن به نیروی گرانشی بستگی دارد. جرم فضانورد ۸۴ کیلوگرم است و وزن او در زمین حدود ۱۸۶,D,0.5123115181922913,D,0.7877124547958374,True,True,True,True,[0.1663232  0.01063269 0.31073263 0.5123115 ],[0.17439461 0.01114867 0.02674428 0.78771245]
8,کدام یک از موارد زیر ویژگی‌ای است که سگ از والدین خود به ارث نمی‌برد؟,"['طول موهایش', 'شکل بینی\u200cاش', 'اندازه اشتهایش', 'رنگ موهایش']",C,اشتها تحت تأثیر عوامل محیطی است و ژنتیکی نیست.,B,0.40217435359954834,C,0.7395913600921631,False,True,True,True,[0.3132137  0.40217435 0.06934355 0.21526843],[0.14563417 0.03682208 0.73959136 0.07795236]
9,پیمایشی که لاک‌پشت‌های دریایی در ابتدای زندگی خود معمولاً تیره رنگ هستند. گاهی اوقات، لاک‌پشتی بیرون می‌آید که تقریباً سفید رنگ است. هنگامی که این لاک‌پشت رنگ روشن از لانه به سمت اقیانوس خزیده می‌شود، ممکن است در معرض آفتاب سوختگی قرار گیرد. رنگ روشن این لاک‌پشت‌ها چه تأثیری خواهد داشت؟,"['الف) به لاک\u200cپشت\u200cها کمک می\u200cکند که شانس بیشتری برای زادآوری داشته باشند.', 'ب) باعث قوی\u200cتر شدن پوسته لاک\u200cپشت\u200cهای دریایی می\u200cشود.', 'ج) احتمال زنده ماندن لاک\u200cپشت\u200cها برای زادآوری را کاهش می\u200cدهد.', 'د) در توسعه یک گونه جدید از لاک\u200cپشت\u200cهای دریایی کمک می\u200cکند.']",C,رنگ روشن لاک‌پشت‌ها خطر آفتاب‌سوختگی را افزایش داده و شانس ز,C,0.5924316048622131,C,0.8386270999908447,True,True,True,True,[0.27984488 0.09014531 0.5924316  0.03757815],[0.11349583 0.0325171  0.8386271  0.01535999]
