version,accuracy_exp,sufficiency,model
0,0.8260364199922511,0.7236028626888803,Claude 3 Haiku
10,0.8074389771406432,0.7063757265284774,Claude 3 Haiku
20,0.8198372723750484,0.7255710835102673,Claude 3 Haiku
30,0.8217745060054242,0.7295750622006975,Claude 3 Haiku
40,0.8256489732661759,0.7353966025222782,Claude 3 Haiku
50,0.8225493994575745,0.7347390319798528,Claude 3 Haiku
60,0.828361100348702,0.7373671257574584,Claude 3 Haiku
70,0.8260364199922511,0.7349553491282449,Claude 3 Haiku
80,0.8264238667183262,0.7365333556489733,Claude 3 Haiku
90,0.8318481208833786,0.738249286044169,Claude 3 Haiku
0,0.8198372723750484,0.7338266528128632,Cohere Command R
10,0.7791553661371562,0.6723664938589694,Cohere Command R
20,0.781092599767532,0.6834624863192561,Cohere Command R
30,0.7911662146454862,0.6983070405308021,Cohere Command R
40,0.7919411080976366,0.7019080634792717,Cohere Command R
50,0.7919411080976366,0.7069655941495544,Cohere Command R
60,0.7996900426191399,0.7104889073537388,Cohere Command R
70,0.7927160015497869,0.7101933394304534,Cohere Command R
80,0.8020147229755908,0.7148496460131732,Cohere Command R
90,0.8027896164277412,0.7183547691592406,Cohere Command R
0,0.8624564122433166,0.7584174100813639,GPT 4o mini
10,0.81170089112747,0.705542512603642,GPT 4o mini
20,0.8361100348702053,0.7326195638086014,GPT 4o mini
30,0.8434715226656335,0.7459524392522279,GPT 4o mini
40,0.8531576908175126,0.7553261500387446,GPT 4o mini
50,0.8550949244478884,0.760081245025184,GPT 4o mini
60,0.8550949244478884,0.7579318203835723,GPT 4o mini
70,0.8589693917086401,0.7665015842502906,GPT 4o mini
80,0.8601317318868655,0.7647471390236342,GPT 4o mini
90,0.8605191786129407,0.767569210530802,GPT 4o mini
0,0.8647810925997675,0.7621793911662146,Gemini 2.0 flash
10,0.8194498256489733,0.7054699156915925,Gemini 2.0 flash
20,0.8423091824874079,0.7331259806935296,Gemini 2.0 flash
30,0.8605191786129407,0.7537171195079426,Gemini 2.0 flash
40,0.8663308795040682,0.7631462521542038,Gemini 2.0 flash
50,0.8698179000387447,0.7690989152305308,Gemini 2.0 flash
60,0.8725300271212708,0.7748912995040682,Gemini 2.0 flash
70,0.8771793878341728,0.7769180374273537,Gemini 2.0 flash
80,0.8748547074777218,0.7761433826927548,Gemini 2.0 flash
90,0.8795040681906238,0.7825766462766369,Gemini 2.0 flash
0,0.8787291747384735,0.7741610516892677,Deepseek V3.1
10,0.8163502518403719,0.7047542065904688,Deepseek V3.1
20,0.8333979077876792,0.7279788913444402,Deepseek V3.1
30,0.8485083301046106,0.7444505705656721,Deepseek V3.1
40,0.8609066253390159,0.7518967208020148,Deepseek V3.1
50,0.8539325842696629,0.7553683371251453,Deepseek V3.1
60,0.8547074777218132,0.7565845931615653,Deepseek V3.1
70,0.8678806664083688,0.7671226186516854,Deepseek V3.1
80,0.8686555598605192,0.7680343809802402,Deepseek V3.1
90,0.8736923672994963,0.7713402099961255,Deepseek V3.1
0,0.8647810925997675,0.7684013286981791,Mistral 3.1 Small
10,0.7876791941108098,0.6830816361952731,Mistral 3.1 Small
20,0.807051530414568,0.7058800985819449,Mistral 3.1 Small
30,0.814025571483921,0.7167727878419218,Mistral 3.1 Small
40,0.8295234405269275,0.7315470926268888,Mistral 3.1 Small
50,0.8287485470747772,0.7331763494343279,Mistral 3.1 Small
60,0.844633862843859,0.7442511456954668,Mistral 3.1 Small
70,0.8415342890352576,0.7453123910422317,Mistral 3.1 Small
80,0.8419217357613328,0.7473921887562961,Mistral 3.1 Small
90,0.8415342890352576,0.751340971418055,Mistral 3.1 Small
0,0.8658914728682171,0.7564927987829457,LLAMA 4 Scout
10,0.813953488372093,0.7057652240620156,LLAMA 4 Scout
20,0.8364341085271317,0.7289854695891473,LLAMA 4 Scout
30,0.8472868217054264,0.740845707624031,LLAMA 4 Scout
40,0.8453488372093023,0.7440510664302326,LLAMA 4 Scout
50,0.8569767441860465,0.7531517844224807,LLAMA 4 Scout
60,0.8554263565891473,0.7598113425465116,LLAMA 4 Scout
70,0.858139534883721,0.7649325902286821,LLAMA 4 Scout
80,0.8643410852713178,0.7661513511124031,LLAMA 4 Scout
90,0.8724806201550388,0.7704200020852714,LLAMA 4 Scout
