Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4
بسیاری، ریتم‌های فیزیولوژی و رفتار را غالباً به صورت جدی به وجود چرخه درون‌زا و تولید آن‌ها را به ساعت‌های بیولوژیکی مرتبط می‌دانند. ریتم‌های دوره‌ای، که به سادگی یک پاسخ به نشانه‌های دوره‌ای خارجی نیستند، برای اکثر موجودات زنده از جمله باکتری‌ها، قارچ‌ها، گیاهان و حیوانات ثبت شده است. ساعت‌های بیولوژیکی نوسان‌سازهای خودپایداری هستند که دوره‌ای از یک سیکل آزاد‌گرد را در نبود نشانه‌های بیرونی ادامه می‌دهند.,کدام یک از موارد زیر علیرغم وجود نشانه‌های خارجی ادامه پیدا خواهد کرد؟,3,"<answer>3</answer>

<explanation>
برای پاسخ به این سوال، باید به تعریف ساعت‌های بیولوژیکی در متن توجه کنیم. در متن گفته شده است که ساعت‌های بیولوژیکی نوسان‌سازهای خودپایداری هستند که دوره‌ای از یک سیکل آزاد‌گرد را در نبود نشانه‌های بیرونی ادامه می‌دهند. این تعریف نشان می‌دهد که ساعت‌های بیولوژیکی حتی در نبود نشانه‌های خارجی نیز ادامه پیدا می‌کنند. بنابراین، گزینه ۳ صحیح است.

در گزینه ۱، چرخه درون‌زا ممکن است در حضور نشانه‌های خارجی تغییر کند. در گزینه ۲، ریتم‌های دوره‌ای ممکن است به نشانه‌های دوره‌ای خارجی پاسخ دهند. در گزینه ۴، ریتم‌های مشاهده‌شده ممکن است تحت تأثیر نشانه‌های خارجی قرار بگیرند. اما ساعت‌های بیولوژیکی به دلیل خودپایداری، مستقل از نشانه‌های خارجی عمل می‌کنند.

</explanation>

<highlight>
ساعت‌های بیولوژیکی نوسان‌سازهای خودپایداری هستند که دوره‌ای از یک سیکل آزاد‌گرد را در نبود نشانه‌های بیرونی ادامه می‌دهند.
</highlight>

<keywords>['ساعت‌های بیولوژیکی', 'نوسان‌سازهای خودپایداری', 'نشانه‌های بیرونی', 'ریتم‌های دوره‌ای', 'چرخه درون‌زا']</keywords>",چرخه درون‌زا,ریتم‌های دوره‌ای,ساعت‌های بیولوژیک,ریتم‌های مشاهده‌شده
جمعیت عبارت است از مجموعه‌ای از موجودات زنده یک گونه خاص در داخل یک منطقه جغرافیایی مشخص. وقتی همه افراد یک جامعه از لحاظ یک خصوصیت فنوتیپی خاص با هم شباهت داشته باشند، آنها را «تک‌شکل» لحاظ می‌کنند. هنگامی که افراد چندین نوع ویژگی خاص را نشان می دهند، چند شکلی هستند.,کدام واژه افرادی را توصیف می‌کند که چندین نوع از خصوصیت فنوتیپی خاصی را نشان می‌دهند؟,4,"<answer>4</answer>

<explanation>
برای پاسخ به این سوال، ابتدا باید مفهوم جمعیت و ویژگی‌های آن را درک کنیم. جمعیت مجموعه‌ای از موجودات زنده یک گونه خاص در داخل یک منطقه جغرافیایی مشخص است. سپس، باید به تفاوت بین تک‌شکل و چند شکلی توجه کنیم. تک‌شکل به افرادی گفته می‌شود که از لحاظ یک خصوصیت فنوتیپی خاص با هم شباهت داشته باشند، در حالی که چند شکلی به افرادی گفته می‌شود که چندین نوع ویژگی خاص را نشان می‌دهند.

با توجه به این تعریف‌ها، مشخص است که افرادی که چندین نوع از خصوصیت فنوتیپی خاصی را نشان می‌دهند، چند شکلی هستند. بنابراین، پاسخ صحیح گزینه ۴ است.

</explanation>

<highlight>
«هنگامی که افراد چندین نوع ویژگی خاص را نشان می دهند، چند شکلی هستند.»
</highlight>

<keywords>['جمعیت', 'تک‌شکل', 'چند شکلی', 'خصوصیت فنوتیپی']</keywords>",تک‌شکل,ارگانیسم‌ها,گونه‌ها,چند شکلی
جمعیت عبارت است از مجموعه‌ای از موجودات زنده یک گونه خاص در داخل یک منطقه جغرافیایی مشخص. وقتی همه افراد یک جامعه از لحاظ یک خصوصیت فنوتیپی خاص با هم شباهت داشته باشند، آنها را «تک‌شکل» لحاظ می‌کنند. هنگامی که افراد چندین نوع ویژگی خاص را نشان می دهند، چند شکلی هستند.,کدام مورد اصطلاح صحیح برای ارگانیسم‌هایی است که فضای خاصی را اشغال می‌کنند؟,2,"<answer>2</answer>

<explanation>
برای پاسخ به این سوال، ابتدا باید معنی هر کدام از گزینه‌ها را در نظر بگیریم. جمعیت به مجموعه‌ای از موجودات زنده یک گونه خاص در داخل یک منطقه جغرافیایی مشخص اشاره دارد. تک‌شکل به این معنی است که همه افراد یک جامعه از لحاظ یک خصوصیت فنوتیپی خاص با هم شباهت داشته باشند. چند شکلی به این معنی است که افراد چندین نوع ویژگی خاص را نشان می دهند. گونه‌ها به دسته‌بندی زیست‌شناختی اشاره دارد.

با توجه به سوال، ما به دنبال اصطلاح صحیح برای ارگانیسم‌هایی هستیم که فضای خاصی را اشغال می‌کنند. از میان گزینه‌ها، تنها جمعیت به منطقه جغرافیایی اشاره دارد و بنابراین تنها گزینه‌ای است که به فضای خاصی اشاره دارد.

بنابراین، پاسخ صحیح گزینه ۲ یعنی جمعیت است.
</explanation>

<highlight>
جمعیت عبارت است از مجموعه‌ای از موجودات زنده یک گونه خاص در داخل یک منطقه جغرافیایی مشخص.
</highlight>

<keywords>[""جمعیت"", ""منطقه جغرافیایی"", ""ارگانیسم‌ها"", ""فضای خاص""]</keywords>",تک‌شکل,جمعیت,گونه‌ها,چند شکلی
جهانگردی طبیعت‌دوست به جذب افراد علاقه‌مند به بازدید از مناطق طبیعی می‌پردازد با این هدف که از مناظری مثل گیاهان و حیات وحش لذت ببرند. نمونه‌هایی از فعالیت‌ها در این محل عبارتند از شکار، ماهیگیری، عکاسی، تماشای پرندگان و بازدید از پارک‌ها و مطالعه اطلاعاتی در مورد اکوسیستم. یک نمونه از آن بازدید، عکاسی و یادگیری در مورد ارگانگاتوآنگز در بورنئو است,کدام یک از موارد زیر مثالی از گردشگری طبیعت‌دوست نیست؟,3,"<answer>4</answer>

<explanation>
برای پاسخ به این سوال، باید به هدف جهانگردی طبیعت‌دوست توجه کنیم که از مناطق طبیعی لذت ببرند. در میان گزینه‌ها، گزینه ۴ یعنی ماهیگیری با حشره مصنوعی، با هدف جهانگردی طبیعت‌دوست در تضاد است. زیرا ماهیگیری با حشره مصنوعی به جای لذت بردن از طبیعت، به آسیب رساندن به اکوسیستم کمک می‌کند. در حالی که سایر گزینه‌ها مانند پیاده‌روی تا آبشار، عکسبرداری از گل‌های وحشی و بازدید از موزه‌های علوم، همه با هدف لذت بردن از طبیعت و یادگیری در مورد آن مطابقت دارند.
</explanation>

<highlight>
جهانگردی طبیعت‌دوست به جذب افراد علاقه‌مند به بازدید از مناطق طبیعی می‌پردازد با این هدف که از مناظری مثل گیاهان و حیات وحش لذت ببرند.
</highlight>

<keywords>['جهانگردی طبیعت‌دوست', 'مناطق طبیعی', 'لذت بردن', 'اکوسیستم', 'ماهیگیری با حشره مصنوعی']</keywords>",پیاده‌روی تا آبشار,عکسبرداری از گل‌های وحشی,بازدید از موزه‌های علوم,ماهیگیری با حشره مصنوعی
هر روز صبح، مردم شهرهای کوچک شهرستان را با اتومبیل ترک می‌کنند تا به محل کار خود بروند و توسط دیگرانی منتقل می‌شوند که مقصد کاری‌شان همان جایی است که آنها از آن آمده‌اند. در این شاتل حمل و نقل دینامیکی هر کس به نحوی به یک سیستم حمل و نقل برپایه اتومبیل‌های شخصی متصل است و با آن پشتیبانی می‌شود. اکنون علم نشان می‌دهد که این اقتصاد کلان کربن، بیوسفر را از یکی از حالات پایدارش خارج کرده است، حالتی که تکامل انسان را در طی دو میلیون سال گذشته تأمین و پشتیبانی کرده است.,با توجه به متن، کدام یک از موارد زیر مبنای سیستم حمل‌ونقل است؟,2,"<answer>2</answer>

<explanation>
برای پاسخ به این سوال، باید به متن توجه کنیم. در متن گفته شده است که هر کس به نحوی به یک سیستم حمل و نقل برپایه اتومبیل‌های شخصی متصل است و با آن پشتیبانی می‌شود. این جمله نشان می‌دهد که اتومبیل‌های شخصی مبنای سیستم حمل‌ونقل هستند. در واقع، سیستم حمل‌ونقل بر پایه اتومبیل‌های شخصی بنا شده است و مردم با استفاده از این اتومبیل‌ها به محل کار خود می‌روند.

در گزینه‌های دیگر، مقاصد کاری به عنوان مقصد نهایی سیستم حمل‌ونقل است، نه مبنای آن. بیوسفر پایدار و تکامل انسان نیز به سیستم حمل‌ونقل ربطی ندارند و در متن به عنوان مبنای سیستم حمل‌ونقل ذکر نشده‌اند.

بنابراین، با توجه به متن، گزینه ۲، اتومبیل‌های شخصی، مبنای سیستم حمل‌ونقل است.</explanation>

<highlight>هر کس به نحوی به یک سیستم حمل و نقل برپایه اتومبیل‌های شخصی متصل است و با آن پشتیبانی می‌شود.</highlight>

<keywords>[""اتومبیل‌های شخصی"", ""سیستم حمل‌ونقل"", ""مقاصد کاری"", ""بیوسفر پایدار"", ""تکامل انسان""]</keywords>",مقاصد کاری,اتومبیل‌های شخصی,بیوسفر پایدار,تکامل انسان
اتم را می‌توان یکی از بلوک‌های ساختاری بنیادی تمام مواد در نظر گرفت. این یک موجودیت بسیار پیچیده است، که بنابر یک مدل ساده شده بور از یک هسته مرکزی و الکترون‌هایی که به دورش می‌چرخنده ساخته شده است، چیزی شبیه به سیارات دور خورشید - به شکل 1.1 مراجعه کنید. هسته از دو نوع از ذرات تشکیل شده - نوترون‌ها و پروتون‌ها. پروتون‌ها بار الکتریکی مثبت دارند درحالی که نوترون‌ها فاقد بار هستند. الکترون‌ها دارای بار الکتریکی منفی می‌باشند.,ذراتی که به دور هسته می‌چرخند، چه نوع باری دارند؟,3,"<answer>3</answer>

<explanation>
برای پاسخ به این سوال، باید به ساختار اتم و اجزای آن رجوع کنیم. در متن گفته شده است که اتم از هسته مرکزی و الکترون‌هایی که به دورش می‌چرخند تشکیل شده است. سپس در مورد الکترون‌ها گفته شده است که دارای بار الکتریکی منفی می‌باشند. بنابراین، ذراتی که به دور هسته می‌چرخند، الکترون‌ها هستند و دارای بار الکتریکی منفی می‌باشند.

</explanation>

<highlight>
الکترون‌ها دارای بار الکتریکی منفی می‌باشند.
</highlight>

<keywords>['اتم', 'هسته', 'الکترون', 'بار الکتریکی', 'منفی']</keywords>",بار مثبت,بدون بار,بار منفی,بار مثبت و منفی
اتم را می‌توان یکی از بلوک‌های ساختاری بنیادی تمام مواد در نظر گرفت. این یک موجودیت بسیار پیچیده است، که بنابر یک مدل ساده شده بور از یک هسته مرکزی و الکترون‌هایی که به دورش می‌چرخنده ساخته شده است، چیزی شبیه به سیارات دور خورشید - به شکل 1.1 مراجعه کنید. هسته از دو نوع از ذرات تشکیل شده - نوترون‌ها و پروتون‌ها. پروتون‌ها بار الکتریکی مثبت دارند درحالی که نوترون‌ها فاقد بار هستند. الکترون‌ها دارای بار الکتریکی منفی می‌باشند.,هسته از کدام ذرات تشکیل شده است؟,1,"<answer>1</answer>

<explanation>
برای پاسخ به این سوال، باید به قسمت مربوط به ساختار هسته در متن مراجعه کنیم. در متن گفته شده است که ""هسته از دو نوع از ذرات تشکیل شده - نوترون‌ها و پروتون‌ها."" این جمله به وضوح نشان می‌دهد که هسته از پروتون‌ها و نوترون‌ها تشکیل شده است. بنابراین، گزینه ۱ پاسخ صحیح است.

همچنین، می‌توان به این نکته اشاره کرد که الکترون‌ها در ساختار اتم نقش دارند، اما در ساختار هسته شرکت نمی‌کنند. بلکه الکترون‌ها به دور هسته می‌چرخند. بنابراین، گزینه‌های ۲، ۳ و ۴ که الکترون‌ها را در ساختار هسته دخیل می‌دانند، صحیح نیستند.
</explanation>

<highlight>هسته از دو نوع از ذرات تشکیل شده - نوترون‌ها و پروتون‌ها.</highlight>

<keywords>['هسته', 'نوترون‌ها', 'پروتون‌ها', 'ذرات', 'اتم', 'الکترون‌ها']</keywords>",پروتون‌ها و نوترون‌ها,نوترون‌ها و الکترون‌ها,الکترون‌ها و پروتون‌ها,پروتون‌ها، نوترون‌ها و الکترون‌ها
تقریباً تمام رایانه‌هایی که امروزه مورد استفاده قرار می‌گیرد، مبتنی بر به‌کار بری اطلاعات هستند که به صورت اعداد دو دویی کدگذاری می‌شوند. یک عدد دودویی فقط می‌تواند یکی از دو مقدار، یعنی 0 یا 1 را داشته باشد، و در اصطلاح تخصصی رایانه‌ای از این شماره‌ها به عنوان رقم‌های دودویی - یا بیت - یاد می‌شود.,با توجه به متن، کدام یک از موارد زیر مثالی از عدد دودویی پنج بیتی است؟,3,"<answer>3</answer>

<explanation>
برای پاسخ به این سوال، ابتدا باید بدانیم که عدد دودویی چیست. بر اساس متن، یک عدد دودویی فقط می‌تواند یکی از دو مقدار، یعنی 0 یا 1 را داشته باشد. همچنین، هر رقم در عدد دودویی به عنوان بیت یاد می‌شود. در این سوال، از ما خواسته شده است که مثالی از عدد دودویی پنج بیتی را پیدا کنیم. این یعنی باید یک عدد دودویی داشته باشیم که از پنج بیت تشکیل شده باشد.

با بررسی گزینه‌ها، می‌بینیم که گزینه 3، یعنی 10010، تنها گزینه‌ای است که از پنج بیت تشکیل شده است. سایر گزینه‌ها یا از چهار بیت (گزینه 1) یا از شش بیت (گزینه‌های 2 و 4) تشکیل شده‌اند.

بنابراین، با توجه به تعریف عدد دودویی و تعداد بیت‌های مورد نیاز، می‌توانیم بگوییم که گزینه 3، یعنی 10010، مثالی از عدد دودویی پنج بیتی است.
</explanation>

<highlight>
یک عدد دودویی فقط می‌تواند یکی از دو مقدار، یعنی 0 یا 1 را داشته باشد، و در اصطلاح تخصصی رایانه‌ای از این شماره‌ها به عنوان رقم‌های دودویی - یا بیت - یاد می‌شود.
</highlight>

<keywords>[""عدد دودویی"", ""بیت"", ""رقم‌های دودویی"", ""پنج بیتی""]</keywords>",1010,12001,10010,110101
تقریباً تمام رایانه‌هایی که امروزه مورد استفاده قرار می‌گیرد، مبتنی بر به‌کار بری اطلاعات هستند که به صورت اعداد دو دویی کدگذاری می‌شوند. یک عدد دودویی فقط می‌تواند یکی از دو مقدار، یعنی 0 یا 1 را داشته باشد، و در اصطلاح تخصصی رایانه‌ای از این شماره‌ها به عنوان رقم‌های دودویی - یا بیت - یاد می‌شود.,ارقام دودویی همچنین با چه عنوانی معرفی می‌شوند؟,1,"<answer>1</answer>

<explanation>
برای پاسخ به این سوال، باید به متن زمینه توجه کنیم. در متن گفته شده است که در اصطلاح تخصصی رایانه‌ای از این شماره‌ها به عنوان رقم‌های دودویی - یا بیت - یاد می‌شود. بنابراین، ارقام دودویی با عنوان بیت نیز معرفی می‌شوند.
</explanation>

<highlight>
در اصطلاح تخصصی رایانه‌ای از این شماره‌ها به عنوان رقم‌های دودویی - یا بیت - یاد می‌شود.
</highlight>

<keywords>[""رقم‌های دودویی"", ""بیت"", ""اصطلاح تخصصی"", ""رایانه‌ای""]</keywords>",بیت‌,رقم‌ها,زبان تخصصی,اشکال
"وبلاگ‌ها همچنین می‌توانند به پیشرفت مهارت نوشتن دانش‌آموز کمک کنند. گرچه دانش‌آموزان اغلب وبلاگ‌نویسی خود را با گرامر و املای درهم و برهم آغاز می‌کنند، حضور مخاطب عموماً در این موضوع تغییر ایجاد می‌کند. از آنجا که دانش آموزان اغلب نکته‌سنج‌ترین مخاطب هستند، نویسنده وبلاگ برای جلوگیری از انتقاد، در جهت بهبود نوشتن تلاش می کند. اگرچه وبلاگ‌نویسی «دانشجویان را مجبور می‌کند که درباره دنیای اطراف خود ادراک بیشتری داشته باشند،» ولی نیاز به تأمین علاقه مخاطب دانشجوها را ترغیب به هوشیاری و علاقمندی می‌کند (Toto, 2004). وبلاگ‌نویسی ابزاری است که الهام‌بخش همکاری بوده و دانش‌آموزان را ترغیب می‌کند تا یادگیری را فراتر از برنامه‌های روزانه سنتی مدرسه گسترش دهند. استفاده مناسب از وبلاگ‌ها «می‌تواند به دانش‌آموزان کمک کند تا به فردی تحلیلی‌تر و نقادتر تبدیل شوند؛ و از طریق پاسخ فعالانه به مطالب اینترنتی، دانش‌آموزان می‌توانند مواضع خود را در متن نوشته‌های دیگران تعریف کنند و همچنین دیدگاه‌های خود را درمورد موضوعات خاص مطرح کنند» (اوراوک، 2002).",کدام‌ یک از موارد زیر به عنوان مزیت اصلی وبلاگ‌نویسی دانش‌آموزان در متن معرفی نشده است؟,2,"<answer>2</answer>

<explanation>
برای پاسخ به این سوال، ابتدا باید مزایای وبلاگ‌نویسی برای دانش‌آموزان را در متن بررسی کنیم. در متن آمده است که وبلاگ‌نویسی می‌تواند به پیشرفت مهارت نوشتن دانش‌آموزان کمک کند و آنها را ترغیب می‌کند تا درباره دنیای اطراف خود ادراک بیشتری داشته باشند. همچنین، وبلاگ‌نویسی ابزاری است که الهام‌بخش همکاری بوده و دانش‌آموزان را ترغیب می‌کند تا یادگیری را فراتر از برنامه‌های روزانه سنتی مدرسه گسترش دهند. علاوه بر این، استفاده مناسب از وبلاگ‌ها می‌تواند به دانش‌آموزان کمک کند تا به فردی تحلیلی‌تر و نقادتر تبدیل شوند.

اکنون باید گزینه‌هایی را بررسی کنیم که در متن به عنوان مزیت اصلی وبلاگ‌نویسی دانش‌آموزان معرفی نشده است. گزینه ۱ به بهبود توانایی نوشتن و قواعد اشاره دارد که در متن آمده است. گزینه ۳ به گسترش آگاهی نسبت به پیرامون اشاره دارد که در متن به آن اشاره شده است. گزینه ۴ به افزایش تمایل به یادگیری پیوسته اشاره دارد که در متن به آن اشاره شده است. اما گزینه ۲ به کاهش انتقاد توسط همتایان اشاره دارد که در متن به آن اشاره نشده است. بنابراین، گزینه ۲ به عنوان مزیت اصلی وبلاگ‌نویسی دانش‌آموزان در متن معرفی نشده است.
</explanation>

<highlight>
""گرچه دانش‌آموزان اغلب وبلاگ‌نویسی خود را با گرامر و املای درهم و برهم آغاز می‌کنند، حضور مخاطب عموماً در این موضوع تغییر ایجاد می‌کند. از آنجا که دانش آموزان اغلب نکته‌سنج‌ترین مخاطب هستند، نویسنده وبلاگ برای جلوگیری از انتقاد، در جهت بهبود نوشتن تلاش می کند.""
</highlight>

<keywords>['وبلاگ‌نویسی', 'دانش‌آموزان', 'مهارت نوشتن', 'همکاری', 'یادگیری', 'انتقاد']</keywords>",بهبود توانایی نوشتن و قواعد,کاهش انتقاد توسط همتایان,گسترش آگاهی نسبت به پیرامون,افزایش تمایل به یادگیری پیوسته
